uid,AcademicInterest,ExtracurricularActivities,Skills,Major,GPA,Languages,ClubMemberships,ResearchInterests
656,Physics,Debate Club,"Artistic, Problem Solving, Public Speaking, Data Analysis, Programming",Computer Science,2.4,"English, German, French, Japanese, Spanish",Music Club,Behavioral Economics
657,Mathematics,Volunteer Group,"Programming, Public Speaking",Psychology,3.96,"English, German, French, Japanese","Music Club, Sports Team, Debate Club, Volunteer Group, Art Club, Coding Club",Artificial Intelligence
658,History,Music Club,"Data Analysis, Problem Solving",Psychology,2.08,"English, Chinese, Spanish","Coding Club, Art Club, Volunteer Group, Sports Team, Music Club",Environmental Sustainability
659,History,Art Club,"Leadership, Artistic, Problem Solving",Psychology,2.8,"French, Spanish",Coding Club,Climate Change
660,Computer Science,Art Club,"Leadership, Programming, Public Speaking, Data Analysis, Artistic, Problem Solving",Biology,3.38,"French, Japanese","Debate Club, Sports Team",Sustainable Agriculture
661,History,Debate Club,"Problem Solving, Leadership, Data Analysis, Public Speaking, Artistic, Programming",Physics,2.19,"Spanish, French, Japanese","Debate Club, Art Club, Sports Team, Coding Club",Robotics
662,Computer Science,Debate Club,"Data Analysis, Artistic, Leadership, Programming, Problem Solving",Computer Science,2.38,"French, Chinese","Sports Team, Debate Club, Coding Club",Human-Computer Interaction
663,Biology,Volunteer Group,"Programming, Public Speaking",Mathematics,3.63,"German, Chinese, English, French","Art Club, Volunteer Group, Coding Club, Debate Club, Music Club, Sports Team",Bioinformatics
664,Biology,Art Club,"Leadership, Public Speaking, Programming",Physics,2.02,"Spanish, French, Japanese, Chinese","Sports Team, Art Club",Nanotechnology
665,Biology,Sports Team,Artistic,Psychology,3.91,"Chinese, Japanese",Debate Club,Urban Planning
666,Psychology,Coding Club,"Data Analysis, Problem Solving, Public Speaking, Leadership, Programming",Physics,3.87,"Chinese, English","Music Club, Coding Club, Sports Team, Debate Club",Renewable Energy
667,Biology,Debate Club,"Data Analysis, Leadership, Artistic, Public Speaking, Programming",Mathematics,2.08,"German, French","Debate Club, Coding Club, Volunteer Group",Data Science
668,Physics,Coding Club,"Programming, Problem Solving, Data Analysis, Artistic, Leadership, Public Speaking",History,2.09,"Spanish, German, English, Japanese, Chinese","Volunteer Group, Art Club, Coding Club, Sports Team, Music Club",Educational Technology
669,History,Sports Team,"Data Analysis, Problem Solving, Programming, Leadership",Biology,3.54,English,"Sports Team, Coding Club",Urban Planning
670,Mathematics,Art Club,Data Analysis,Psychology,3.54,"German, Japanese",Art Club,Political Science
671,Mathematics,Art Club,"Public Speaking, Leadership, Data Analysis, Programming, Problem Solving",Psychology,3.18,"German, Japanese, English","Volunteer Group, Music Club, Art Club, Coding Club, Debate Club, Sports Team",Natural Language Processing
672,Physics,Volunteer Group,"Data Analysis, Public Speaking, Problem Solving",Physics,3.38,"German, Japanese, English, Chinese, Spanish","Art Club, Music Club",Healthcare Management
673,Biology,Volunteer Group,"Leadership, Public Speaking, Programming, Problem Solving",Computer Science,2.41,French,"Music Club, Coding Club, Debate Club",Quantum Computing
674,Biology,Debate Club,"Leadership, Artistic, Programming",Computer Science,3.24,"German, Chinese, French, Japanese, English","Art Club, Music Club",Machine Learning
675,Computer Science,Volunteer Group,"Problem Solving, Data Analysis, Public Speaking, Leadership, Programming, Artistic",Biology,2.56,Spanish,"Music Club, Art Club, Coding Club, Debate Club, Sports Team, Volunteer Group",Robotics
676,Computer Science,Volunteer Group,"Leadership, Public Speaking, Problem Solving",Mathematics,2.93,"Japanese, Spanish","Music Club, Debate Club, Coding Club, Sports Team, Volunteer Group",Behavioral Economics
677,Mathematics,Music Club,Data Analysis,Mathematics,2.17,"Spanish, German, English, French",Volunteer Group,Astrophysics
678,Physics,Volunteer Group,Problem Solving,Biology,2.19,"Spanish, English, French, Chinese","Debate Club, Music Club",Human-Computer Interaction
679,Physics,Volunteer Group,"Problem Solving, Data Analysis, Public Speaking, Leadership",Psychology,2.75,"Japanese, German, English","Volunteer Group, Debate Club",Robotics
680,Mathematics,Volunteer Group,"Programming, Leadership, Data Analysis, Artistic, Public Speaking, Problem Solving",Physics,3.14,"Spanish, German, Chinese, French, Japanese","Debate Club, Music Club, Coding Club, Sports Team, Volunteer Group",Natural Language Processing
681,Computer Science,Debate Club,"Artistic, Data Analysis, Leadership, Problem Solving, Public Speaking, Programming",Biology,3.05,"Chinese, Spanish","Sports Team, Art Club",Environmental Sustainability
682,History,Music Club,"Programming, Public Speaking, Data Analysis",Mathematics,3.86,"Spanish, French, German, English, Chinese","Sports Team, Music Club, Coding Club, Volunteer Group, Debate Club, Art Club",Urban Planning
683,Computer Science,Art Club,"Problem Solving, Data Analysis, Public Speaking, Programming",Biology,2.68,"German, French, Japanese, Chinese, English",Debate Club,Environmental Sustainability
684,Biology,Music Club,"Leadership, Problem Solving, Data Analysis",Computer Science,3.47,"English, German, French",Music Club,Cybersecurity
685,Computer Science,Art Club,"Artistic, Data Analysis",History,3.13,French,"Art Club, Music Club, Sports Team, Coding Club",Sustainable Agriculture
686,Computer Science,Sports Team,"Leadership, Artistic",Mathematics,2.14,"Japanese, French, German, Chinese, Spanish, English","Art Club, Music Club, Coding Club",Biomedical Engineering
687,Psychology,Debate Club,Data Analysis,Biology,3.94,"German, Chinese, Spanish, Japanese",Coding Club,Behavioral Economics
688,Psychology,Art Club,"Artistic, Public Speaking, Data Analysis, Leadership",Mathematics,2.29,French,"Coding Club, Sports Team, Music Club, Volunteer Group, Art Club, Debate Club",Human-Computer Interaction
689,Computer Science,Music Club,"Artistic, Data Analysis, Problem Solving, Public Speaking, Programming, Leadership",History,3.06,"English, Japanese, German, Chinese","Art Club, Debate Club, Volunteer Group",Renewable Energy
690,Mathematics,Coding Club,"Programming, Leadership, Problem Solving",Biology,2.88,German,"Music Club, Volunteer Group",Data Science
691,History,Coding Club,"Data Analysis, Leadership, Artistic, Problem Solving, Programming",Psychology,3.31,"English, Japanese","Music Club, Volunteer Group, Art Club, Coding Club, Sports Team",Blockchain Technology
692,Psychology,Sports Team,"Data Analysis, Artistic, Public Speaking, Programming, Leadership",Mathematics,3.02,"Japanese, French, Spanish, German","Coding Club, Music Club, Sports Team, Volunteer Group, Debate Club, Art Club",Healthcare Management
693,Computer Science,Coding Club,Leadership,Computer Science,2.42,"Spanish, German, English, French, Japanese, Chinese","Volunteer Group, Music Club, Sports Team, Coding Club, Art Club, Debate Club",Bioinformatics
694,Physics,Debate Club,"Leadership, Data Analysis, Programming, Problem Solving, Artistic, Public Speaking",Biology,2.43,English,Debate Club,Artificial Intelligence
695,Physics,Coding Club,"Problem Solving, Leadership, Programming, Artistic, Data Analysis, Public Speaking",Biology,2.45,"French, Japanese",Art Club,Social Sciences
696,Mathematics,Debate Club,Programming,Computer Science,2.14,"Chinese, German, French, Spanish",Debate Club,Human-Computer Interaction
697,Psychology,Volunteer Group,"Artistic, Data Analysis, Programming, Problem Solving, Public Speaking",Mathematics,3.85,"Chinese, English","Debate Club, Sports Team, Volunteer Group, Music Club",Machine Learning
698,History,Art Club,"Leadership, Programming, Public Speaking",Computer Science,3.7,"Chinese, German","Sports Team, Volunteer Group, Coding Club, Music Club, Debate Club",Sustainable Agriculture
699,Biology,Coding Club,"Public Speaking, Problem Solving, Artistic, Data Analysis, Leadership",Biology,2.97,"Spanish, Chinese, German",Volunteer Group,Sustainable Agriculture
700,Physics,Music Club,"Problem Solving, Programming, Leadership, Data Analysis, Artistic",Psychology,3.77,"Japanese, French, German","Volunteer Group, Coding Club, Sports Team, Debate Club, Music Club, Art Club",Bioinformatics
701,History,Volunteer Group,"Programming, Artistic, Leadership, Problem Solving",History,2.95,"Japanese, French, Chinese, Spanish, German","Coding Club, Art Club, Music Club",Bioinformatics
702,Biology,Sports Team,"Public Speaking, Artistic, Programming, Leadership",Physics,3.09,English,"Music Club, Sports Team, Coding Club",Natural Language Processing
703,Mathematics,Debate Club,"Artistic, Leadership, Public Speaking, Programming, Problem Solving",Mathematics,3.58,"German, English",Sports Team,Social Sciences
704,Physics,Debate Club,"Leadership, Data Analysis",Computer Science,2.02,Chinese,"Coding Club, Debate Club, Music Club",Robotics
705,Biology,Sports Team,Leadership,Computer Science,3.11,French,"Coding Club, Music Club, Art Club, Sports Team, Volunteer Group",Natural Language Processing
706,Biology,Debate Club,"Leadership, Programming, Problem Solving, Artistic",Computer Science,2.33,"Japanese, Chinese, English, Spanish, German","Sports Team, Debate Club, Music Club, Art Club, Coding Club, Volunteer Group",Astrophysics
707,Physics,Debate Club,"Programming, Artistic, Public Speaking, Problem Solving, Data Analysis, Leadership",Physics,3.82,"Chinese, French","Debate Club, Volunteer Group, Coding Club",Nanotechnology
708,Physics,Debate Club,"Leadership, Data Analysis, Programming, Public Speaking, Problem Solving",Computer Science,3.24,"French, English, Chinese","Volunteer Group, Debate Club, Sports Team, Art Club",Political Science
709,Mathematics,Sports Team,"Leadership, Problem Solving, Artistic",History,3.07,"Spanish, English, French, German, Chinese, Japanese","Volunteer Group, Art Club, Debate Club, Coding Club, Music Club, Sports Team",Cognitive Psychology
710,Biology,Music Club,"Public Speaking, Data Analysis, Problem Solving, Artistic, Leadership",Computer Science,2.51,"Spanish, German, Chinese, Japanese, French, English","Sports Team, Volunteer Group, Debate Club, Music Club, Art Club",Educational Technology
711,Psychology,Volunteer Group,"Public Speaking, Leadership, Problem Solving, Programming, Data Analysis",Biology,2.82,German,"Music Club, Sports Team",Behavioral Economics
712,Mathematics,Art Club,"Problem Solving, Leadership, Public Speaking, Artistic, Programming",Biology,2.86,"Spanish, Chinese, German, English, Japanese","Debate Club, Art Club",Environmental Sustainability
713,History,Volunteer Group,Problem Solving,Mathematics,3.21,Chinese,"Debate Club, Art Club",Machine Learning
714,Biology,Volunteer Group,"Programming, Data Analysis, Problem Solving, Artistic, Public Speaking",Physics,3.63,Japanese,"Music Club, Sports Team, Debate Club, Art Club, Volunteer Group",Political Science
715,Mathematics,Sports Team,"Public Speaking, Data Analysis, Artistic, Problem Solving",Psychology,3,"English, German","Sports Team, Volunteer Group, Music Club, Debate Club, Art Club",Human-Computer Interaction
716,Mathematics,Volunteer Group,"Public Speaking, Data Analysis",Biology,2.5,"English, Chinese, French, Spanish","Art Club, Sports Team, Music Club, Debate Club, Coding Club",Educational Technology
717,Psychology,Coding Club,"Data Analysis, Leadership, Problem Solving, Programming, Artistic, Public Speaking",Physics,3.85,Spanish,"Music Club, Art Club, Sports Team, Debate Club, Coding Club, Volunteer Group",Environmental Sustainability
718,History,Sports Team,"Programming, Data Analysis, Problem Solving, Leadership",Physics,3.01,"Japanese, German, Spanish, French","Art Club, Volunteer Group, Sports Team",Climate Change
719,Computer Science,Art Club,Data Analysis,Computer Science,3.45,"Chinese, German, Spanish, Japanese, French","Debate Club, Sports Team, Art Club, Coding Club, Volunteer Group, Music Club",Data Science
720,History,Debate Club,"Problem Solving, Programming, Leadership, Data Analysis, Public Speaking",Computer Science,3.46,"German, Spanish, English, Japanese, French","Coding Club, Sports Team",Nanotechnology
721,History,Music Club,"Public Speaking, Programming, Data Analysis",Psychology,2.29,"French, Japanese, German, Chinese","Volunteer Group, Music Club, Art Club, Coding Club",Biomedical Engineering
722,Mathematics,Debate Club,"Leadership, Problem Solving, Public Speaking",Biology,2.67,"German, French, English, Japanese, Spanish, Chinese","Sports Team, Coding Club, Art Club, Volunteer Group, Debate Club, Music Club",Nanotechnology
723,Physics,Debate Club,"Data Analysis, Programming, Artistic",Psychology,3.13,"Chinese, English, German, Spanish, Japanese","Debate Club, Sports Team, Music Club, Coding Club, Art Club, Volunteer Group",Human-Computer Interaction
724,Mathematics,Debate Club,Leadership,Computer Science,2.2,"Spanish, Japanese, Chinese","Sports Team, Art Club",Behavioral Economics
725,Computer Science,Volunteer Group,"Data Analysis, Programming",Biology,2.52,"German, Chinese, Spanish, French","Volunteer Group, Coding Club, Debate Club",Cognitive Psychology
726,Psychology,Coding Club,"Problem Solving, Artistic",History,3.58,"French, Chinese, Spanish, English","Debate Club, Music Club",Artificial Intelligence
727,Physics,Sports Team,"Problem Solving, Public Speaking, Leadership",History,3.49,"Chinese, Spanish, German, English, Japanese, French","Debate Club, Art Club",Biomedical Engineering
728,Psychology,Debate Club,"Problem Solving, Leadership, Data Analysis, Public Speaking",Biology,3.61,Japanese,"Art Club, Sports Team, Coding Club, Volunteer Group, Debate Club",Cognitive Psychology
729,Physics,Coding Club,"Data Analysis, Public Speaking",Physics,2.89,"German, English, Spanish, French, Japanese, Chinese",Volunteer Group,Machine Learning
730,Mathematics,Sports Team,"Programming, Leadership, Artistic, Problem Solving, Public Speaking",History,2.35,"Chinese, German","Debate Club, Coding Club, Music Club, Volunteer Group, Art Club, Sports Team",Astrophysics
731,Biology,Coding Club,"Leadership, Data Analysis, Artistic, Problem Solving",Physics,2,Japanese,"Sports Team, Art Club, Debate Club, Volunteer Group",Blockchain Technology
732,Physics,Art Club,"Public Speaking, Artistic, Problem Solving, Programming, Data Analysis, Leadership",Mathematics,3.9,Spanish,"Music Club, Coding Club, Debate Club",Social Sciences
733,Biology,Music Club,"Problem Solving, Public Speaking, Programming",Computer Science,3.2,French,"Music Club, Coding Club, Debate Club, Volunteer Group",Astrophysics
734,Mathematics,Debate Club,Data Analysis,Psychology,2.27,"Spanish, German","Sports Team, Coding Club, Debate Club",Human-Computer Interaction
735,History,Art Club,"Programming, Public Speaking, Artistic, Problem Solving",Computer Science,2.64,"Spanish, English, French","Debate Club, Art Club, Music Club",Political Science
736,History,Volunteer Group,"Leadership, Data Analysis, Public Speaking",Psychology,3.84,"Chinese, Japanese",Music Club,Climate Change
737,Psychology,Sports Team,"Problem Solving, Public Speaking, Programming, Artistic, Leadership, Data Analysis",Psychology,3.9,Japanese,"Volunteer Group, Debate Club, Music Club, Sports Team",Healthcare Management
738,History,Music Club,"Problem Solving, Public Speaking",Psychology,3.67,German,"Volunteer Group, Coding Club",Cybersecurity
739,History,Coding Club,"Data Analysis, Leadership, Artistic, Problem Solving, Programming",Mathematics,3.87,"Japanese, French, Spanish","Sports Team, Volunteer Group",Human-Computer Interaction
740,Biology,Art Club,"Artistic, Data Analysis, Programming, Leadership",Computer Science,3.72,"Spanish, English, German, Chinese","Volunteer Group, Music Club, Art Club, Coding Club, Debate Club",Biomedical Engineering
741,Mathematics,Art Club,"Leadership, Data Analysis, Public Speaking, Problem Solving, Artistic, Programming",Computer Science,3.71,"German, Chinese, French, Spanish","Coding Club, Sports Team, Debate Club, Music Club, Art Club, Volunteer Group",Biomedical Engineering
742,Computer Science,Volunteer Group,Artistic,Computer Science,2.15,"German, French","Debate Club, Music Club, Coding Club, Sports Team, Art Club",Urban Planning
743,Biology,Volunteer Group,"Artistic, Programming, Data Analysis",History,2.57,"German, English","Sports Team, Art Club, Debate Club, Coding Club, Volunteer Group, Music Club",Political Science
744,Mathematics,Debate Club,"Leadership, Artistic, Data Analysis",Physics,3.91,"Spanish, English, French","Art Club, Debate Club",Human-Computer Interaction
745,Computer Science,Art Club,"Public Speaking, Artistic, Data Analysis, Problem Solving, Leadership",Physics,2.93,"Japanese, Chinese, English, German, French, Spanish","Debate Club, Art Club, Music Club, Sports Team, Coding Club",Natural Language Processing
746,Physics,Art Club,"Data Analysis, Artistic",Biology,2.1,"Japanese, French, Spanish, Chinese",Debate Club,Bioinformatics
747,Physics,Volunteer Group,"Programming, Data Analysis",History,3.77,"English, French, Spanish, Chinese, Japanese","Debate Club, Coding Club, Music Club, Sports Team, Art Club, Volunteer Group",Human-Computer Interaction
748,Physics,Art Club,"Programming, Public Speaking, Leadership, Data Analysis, Artistic, Problem Solving",Mathematics,3.47,"Chinese, German, English, French, Spanish, Japanese","Art Club, Volunteer Group, Coding Club, Music Club, Sports Team, Debate Club",Space Exploration
749,Mathematics,Coding Club,"Leadership, Artistic, Problem Solving, Public Speaking, Data Analysis",History,3.64,German,"Art Club, Volunteer Group, Sports Team",Machine Learning
750,History,Coding Club,"Leadership, Data Analysis, Programming, Artistic, Public Speaking",Psychology,3.23,"French, German, Japanese","Coding Club, Art Club, Music Club, Debate Club",Bioinformatics
751,Psychology,Sports Team,Leadership,Biology,3.95,"Japanese, Chinese, Spanish, English, French, German","Art Club, Debate Club, Coding Club, Music Club, Sports Team, Volunteer Group",Sustainable Agriculture
752,Physics,Coding Club,Problem Solving,Biology,3.51,"English, French, Japanese, German","Music Club, Coding Club",Robotics
753,Physics,Volunteer Group,"Data Analysis, Public Speaking, Programming, Problem Solving, Leadership, Artistic",Computer Science,3.47,"Japanese, Chinese","Volunteer Group, Art Club, Debate Club, Music Club, Coding Club",Political Science
754,Computer Science,Art Club,"Programming, Public Speaking",Mathematics,3.05,"Japanese, German, Chinese","Coding Club, Sports Team",Sustainable Agriculture
755,Psychology,Debate Club,Programming,Biology,2.22,English,Coding Club,Nanotechnology
756,Physics,Debate Club,"Programming, Leadership, Data Analysis",Psychology,2.22,"English, Japanese, French","Music Club, Sports Team, Coding Club, Debate Club, Volunteer Group, Art Club",Space Exploration
757,Psychology,Sports Team,"Leadership, Public Speaking, Data Analysis, Programming, Problem Solving, Artistic",Mathematics,2.43,"Spanish, Japanese, German, Chinese, French","Coding Club, Volunteer Group, Art Club, Music Club",Robotics
758,Psychology,Art Club,"Data Analysis, Artistic, Programming, Problem Solving, Leadership",Psychology,3.72,"Spanish, German","Sports Team, Debate Club, Coding Club, Volunteer Group, Art Club, Music Club",Data Science
759,History,Music Club,"Programming, Data Analysis, Artistic, Problem Solving, Public Speaking",Psychology,3.57,"English, German, Spanish, Chinese, Japanese, French","Music Club, Volunteer Group, Sports Team, Debate Club, Coding Club",Political Science
760,Physics,Volunteer Group,"Data Analysis, Leadership, Problem Solving, Public Speaking",Psychology,2.71,"Japanese, Spanish",Music Club,Climate Change
761,Physics,Volunteer Group,"Leadership, Data Analysis, Programming",Computer Science,2.88,"Spanish, English","Coding Club, Sports Team, Volunteer Group, Debate Club, Art Club, Music Club",Sustainable Agriculture
762,Biology,Art Club,"Data Analysis, Problem Solving, Programming, Leadership, Public Speaking",Computer Science,2.95,"German, Spanish, Chinese","Art Club, Debate Club, Coding Club, Music Club, Sports Team, Volunteer Group",Social Sciences
763,History,Art Club,"Problem Solving, Data Analysis, Leadership, Artistic, Public Speaking",Biology,2.35,"Spanish, English, French, German, Japanese, Chinese","Art Club, Sports Team, Debate Club, Coding Club",Machine Learning
764,Psychology,Coding Club,"Artistic, Problem Solving",History,3.18,"Spanish, German, Chinese",Debate Club,Healthcare Management
765,History,Sports Team,"Public Speaking, Programming, Problem Solving, Leadership, Data Analysis",Psychology,2.87,"Chinese, German","Sports Team, Art Club",Biomedical Engineering
766,Computer Science,Music Club,Public Speaking,Mathematics,2.86,French,Art Club,Data Science
767,History,Sports Team,"Programming, Public Speaking, Data Analysis",Psychology,2.8,"Spanish, German, French, English, Japanese, Chinese",Music Club,Robotics
768,History,Volunteer Group,"Artistic, Data Analysis, Leadership, Public Speaking, Problem Solving, Programming",Biology,2.35,"French, English, Spanish","Volunteer Group, Art Club, Sports Team, Debate Club, Coding Club, Music Club",Astrophysics
769,History,Coding Club,"Programming, Data Analysis, Artistic, Public Speaking",Computer Science,2.94,"Japanese, German, Chinese, English, Spanish, French","Debate Club, Sports Team, Art Club, Music Club, Volunteer Group, Coding Club",Urban Planning
770,Computer Science,Debate Club,Data Analysis,History,3.63,Japanese,"Sports Team, Art Club, Volunteer Group, Coding Club",Healthcare Management
771,History,Music Club,"Data Analysis, Public Speaking",Physics,2.98,"Spanish, French, Japanese, English, Chinese","Sports Team, Art Club",Healthcare Management
772,History,Debate Club,"Leadership, Programming, Public Speaking, Artistic, Data Analysis, Problem Solving",Biology,2.34,"German, French","Sports Team, Coding Club, Debate Club, Music Club",Sustainable Agriculture
773,Physics,Coding Club,"Public Speaking, Data Analysis",Physics,2.39,"Spanish, German, French","Volunteer Group, Debate Club",Environmental Sustainability
774,History,Debate Club,"Public Speaking, Problem Solving",Biology,3.65,"French, Japanese, Chinese, English","Art Club, Music Club",Human-Computer Interaction
775,Biology,Coding Club,"Problem Solving, Data Analysis, Programming, Leadership, Artistic",Biology,3.37,"Spanish, German, French, Chinese","Debate Club, Art Club, Music Club",Artificial Intelligence
776,Computer Science,Sports Team,"Public Speaking, Data Analysis, Leadership",Physics,2.6,"French, Spanish, English, Chinese, Japanese","Volunteer Group, Coding Club, Debate Club, Music Club, Sports Team, Art Club",Astrophysics
777,Computer Science,Music Club,"Programming, Problem Solving, Data Analysis, Artistic",Computer Science,2.46,German,"Debate Club, Coding Club, Sports Team",Nanotechnology
778,History,Sports Team,"Data Analysis, Problem Solving, Leadership, Public Speaking",History,3.03,"Japanese, English, German, Chinese","Music Club, Art Club, Sports Team",Artificial Intelligence
779,Biology,Music Club,"Problem Solving, Programming, Leadership, Data Analysis, Public Speaking, Artistic",History,2.72,"Chinese, Spanish, German",Sports Team,Astrophysics
780,Mathematics,Music Club,"Programming, Artistic, Leadership, Public Speaking",Mathematics,2.25,"German, English, Spanish, Chinese","Music Club, Debate Club, Coding Club, Sports Team, Art Club, Volunteer Group",Educational Technology
781,Mathematics,Art Club,"Programming, Public Speaking, Problem Solving",Computer Science,2.73,"German, Japanese, Spanish, Chinese","Music Club, Debate Club, Sports Team, Volunteer Group",Healthcare Management
782,Computer Science,Debate Club,"Programming, Leadership, Artistic, Data Analysis, Problem Solving",Mathematics,3.74,Spanish,"Volunteer Group, Music Club, Coding Club, Art Club, Debate Club",Renewable Energy
783,Mathematics,Coding Club,"Public Speaking, Artistic, Problem Solving, Programming, Leadership",Physics,3.27,"English, Spanish, German, Japanese","Coding Club, Debate Club, Sports Team, Music Club, Volunteer Group, Art Club",Climate Change
784,History,Music Club,"Problem Solving, Leadership, Artistic, Public Speaking, Programming, Data Analysis",History,3.13,"Spanish, English","Coding Club, Volunteer Group, Sports Team",Nanotechnology
785,Computer Science,Volunteer Group,"Artistic, Public Speaking, Data Analysis, Programming, Leadership",Psychology,2.49,"English, Spanish, Chinese, German, French, Japanese","Art Club, Sports Team",Nanotechnology
786,Physics,Debate Club,"Leadership, Programming",Biology,2,"French, Chinese","Volunteer Group, Coding Club, Art Club, Sports Team, Music Club",Urban Planning
787,Physics,Music Club,Data Analysis,History,2.05,"Chinese, English, German, Japanese, French",Debate Club,Cybersecurity
788,Computer Science,Volunteer Group,"Programming, Leadership, Data Analysis, Problem Solving, Artistic, Public Speaking",History,3.16,"German, Japanese, Chinese, English","Coding Club, Debate Club, Art Club",Quantum Computing
789,Mathematics,Music Club,Problem Solving,History,3,"French, German, Chinese, Spanish, English","Sports Team, Debate Club, Music Club, Volunteer Group",Environmental Sustainability
790,Psychology,Coding Club,Programming,Computer Science,2.9,"French, Chinese","Sports Team, Art Club, Volunteer Group, Debate Club",Machine Learning
791,Mathematics,Art Club,"Programming, Problem Solving, Artistic, Data Analysis, Leadership",Computer Science,3.42,French,"Art Club, Coding Club, Debate Club",Climate Change
792,Computer Science,Sports Team,"Artistic, Public Speaking",Psychology,3.38,"English, Spanish, French, German, Chinese","Volunteer Group, Coding Club, Sports Team",Sustainable Agriculture
793,Physics,Sports Team,"Artistic, Programming, Data Analysis, Leadership",Psychology,2.38,"English, Chinese, Spanish, Japanese, French, German",Music Club,Healthcare Management
794,Physics,Art Club,"Leadership, Data Analysis, Problem Solving, Programming, Public Speaking, Artistic",Biology,2.72,"Japanese, English, German, Chinese, Spanish","Coding Club, Art Club",Healthcare Management
795,Psychology,Art Club,"Data Analysis, Artistic, Programming, Public Speaking, Problem Solving, Leadership",Mathematics,3.05,Japanese,"Volunteer Group, Sports Team, Music Club",Human-Computer Interaction
796,Physics,Music Club,"Leadership, Problem Solving",Psychology,3.41,"English, Chinese","Music Club, Sports Team, Art Club, Debate Club",Nanotechnology
797,Physics,Music Club,Problem Solving,Computer Science,2.98,"Japanese, Spanish","Music Club, Debate Club, Sports Team",Biomedical Engineering
798,History,Music Club,"Problem Solving, Data Analysis, Public Speaking, Programming, Artistic, Leadership",Biology,3.33,"Japanese, Chinese, Spanish, German","Music Club, Sports Team",Behavioral Economics
799,History,Art Club,"Problem Solving, Programming",History,2.16,"German, French, Spanish, Chinese, English, Japanese","Art Club, Debate Club, Volunteer Group, Sports Team, Music Club, Coding Club",Data Science
800,Physics,Art Club,"Data Analysis, Leadership, Public Speaking, Artistic, Programming, Problem Solving",History,2.25,"Spanish, Japanese, English, French, Chinese, German","Debate Club, Volunteer Group, Music Club, Art Club, Coding Club, Sports Team",Space Exploration
